source_row,halo_id,galaxy_id,kind,ra_gal,dec_gal,observed_redshift_gal,euclid_nisp_h,lm_halo,true_redshift_halo,conc_vir_halo,rs_halo,rvir_halo,hpix_29_nest,h_ab,m_msun,chi_mpc_h,rvir_cmpc_h,theta_vir,interior
706708,3737420655978,0,0,184.63559,64.02153,0.40884122,8.703077e-27,13.919606,0.40898442,4.1346245,236.24281,976.77527,792372325428375492,16.5508179,1.24031272e+14,1101.80971,0.97677527,0.000886519024,True
1353699,3737420818959,0,0,187.88011,63.40725,0.40258595,1.23012566e-26,13.913761,0.40229222,4.8157473,201.90747,972.3353,791904402141234915,16.1751263,1.22373166e+14,1085.78237,0.9723353,0.000895515833,True
702004,3737420822005,0,0,186.85356,63.15715,0.4035043,8.253997e-27,14.029792,0.40262946,3.9454858,272.78226,1076.2585,791938244224215957,16.6083392,1.59851677e+14,1086.59158,1.0762585,0.000990490372,True
3650308,3737420833493,0,0,184.91354,63.335068,0.40479493,5.1777382e-27,14.015362,0.40370256,7.0616217,148.78168,1050.6399,792163266430986733,17.1146498,1.54627665e+14,1089.16541,1.0506399,0.000964628408,True
3578623,3837420180215,0,0,183.3823,63.646835,0.4106929,3.575971e-27,13.888124,0.40998912,5.067345,188.50165,955.2029,792196415325939476,17.516515,1.15358393e+14,1104.21031,0.9552029,0.000865055224,True
4574033,3837420247980,0,0,181.03308,61.992874,0.41111025,5.842015e-27,13.951439,0.41181576,4.306483,232.92313,1003.07947,791420223890351731,16.9835933,1.33464019e+14,1108.5711,1.00307947,0.000904839992,True
4680515,3837420360772,0,0,185.94012,58.99533,0.4009684,1.2658042e-26,13.892208,0.40233108,3.9271245,244.05699,958.4422,790547744843683798,16.1440837,1.16448312e+14,1085.87562,0.9584422,0.000882644552,True
4281029,3837420368724,0,0,186.45465,62.246162,0.40534788,1.0091173e-26,13.904016,0.4038429,5.966383,162.18031,967.6299,791728056036267972,16.3901459,1.19657851e+14,1089.5019,0.9676299,0.000888139711,True
3273436,3837420379394,0,0,186.21188,61.863224,0.40462533,5.7042243e-27,14.360784,0.4037078,2.334881,588.8635,1374.9263,791675509605403893,17.0095085,3.42538347e+14,1089.17798,1.3749263,0.00126235228,True
3033391,3837420381185,0,0,184.99861,61.87243,0.4072767,6.983788e-27,14.6466,0.406029,4.2906876,398.47678,1709.7394,791694578559414942,16.7897724,6.61492915e+14,1094.73967,1.7097394,0.00156177715,True
3215231,3837420393896,0,0,184.09897,62.133324,0.40588754,1.4142661e-26,13.888296,0.40979075,4.0711236,235.18504,957.4674,791328803782953567,16.0236722,1.15404089e+14,1103.73645,0.9574674,0.000867478283,True
1946690,3837420412945,0,0,187.36404,61.451454,0.4046101,1.3898329e-26,14.280351,0.40580833,3.9699197,325.1954,1290.9996,791569804394784626,16.0425935,2.84627067e+14,1094.21127,1.2909996,0.00117984491,True
3102943,3837420420205,0,0,187.57526,62.506683,0.41719866,2.2348428e-27,13.931207,0.41826963,6.851462,144.10338,987.3188,791645801599095098,18.0268825,1.27389079e+14,1123.94012,0.9873188,0.000878444303,True
839507,3837420445605,0,0,181.575,60.783585,0.40670738,8.508074e-27,14.0693,0.4085012,6.2423973,175.91028,1098.1018,791165890097807324,16.5754219,1.75075428e+14,1100.6546,1.0981018,0.000997680652,True
804863,3837420451233,0,0,183.9773,61.835403,0.40793332,5.0206178e-27,14.198934,0.40888074,4.7871385,253.51561,1213.6144,791323539794833553,17.1481071,2.35971307e+14,1101.5619,1.2136144,0.00110172147,True
