z,pi_reference
0.002,0.006118766688
0.006,0.007807772946
0.01,0.01113829492
0.014,0.01592352207
0.018,0.02173479213
0.022,0.02790010219
0.026,0.03367996715
0.03,0.03856411655
0.034,0.04253963248
0.038,0.04617037738
0.042,0.05043159403
0.046,0.05642531149
0.05,0.06513895298
0.054,0.07740896263
0.058,0.0939674335
0.062,0.1154546637
0.066,0.1423815211
0.07,0.1749825543
0.074,0.2129048773
0.078,0.2545947626
0.082,0.2965354025
0.086,0.332978837
0.09,0.3569850032
0.094,0.3629311532
0.098,0.3494054148
0.102,0.3206550148
0.106,0.2855321191
0.11,0.254496187
0.114,0.2363388884
0.118,0.2361084144
0.122,0.2545364209
0.126,0.288344545
0.13,0.3309085916
0.134,0.3732999404
0.138,0.4060454615
0.142,0.4214812622
0.146,0.4159926577
0.15,0.3911338389
0.154,0.353074126
0.158,0.3106561112
0.162,0.2729827339
0.166,0.2474090547
0.17,0.2384650584
0.174,0.2475753709
0.178,0.2732120432
0.182,0.3112099619
0.186,0.3553080398
0.19,0.3981445562
0.194,0.4326421525
0.198,0.4535008869
0.202,0.4582655743
0.206,0.4475709036
0.21,0.4245175852
0.214,0.3935805829
0.218,0.3594426277
0.222,0.3261114358
0.226,0.2965040521
0.23,0.272467234
0.234,0.2551173606
0.238,0.24524255
0.242,0.2434908739
0.246,0.2501850746
0.25,0.2649106247
0.254,0.2862690986
0.258,0.3121059711
0.262,0.3400886234
0.266,0.3682958278
0.27,0.3953858193
0.274,0.4202537319
0.278,0.4415132392
0.282,0.4572873951
0.286,0.4656161466
0.29,0.4653009427
0.294,0.456734031
0.298,0.4421183727
0.302,0.4248904554
0.306,0.4085907184
0.31,0.3957727502
0.314,0.3874332479
0.318,0.383185461
0.322,0.3818692231
0.326,0.3821815016
0.33,0.3829901171
0.334,0.3833463694
0.338,0.3824146235
0.342,0.3795382381
0.346,0.3744041838
0.35,0.3671779703
0.354,0.3584163913
0.358,0.3488515031
0.362,0.3392597621
0.366,0.3305772911
0.37,0.324205815
0.374,0.3222744401
0.378,0.3275578635
0.382,0.3428264621
0.386,0.3697451556
0.39,0.407707758
0.394,0.4531371021
0.398,0.4997651843
0.402,0.540030556
0.406,0.567221645
0.41,0.5776121788
0.414,0.5716808812
0.418,0.553846267
0.422,0.530838571
0.426,0.5093341118
0.43,0.4938625991
0.434,0.4857409346
0.438,0.4833155569
0.442,0.4831709976
0.446,0.4816553952
0.45,0.4760790284
0.454,0.4653249784
0.458,0.4498572284
0.462,0.4313158371
0.466,0.4120071035
0.47,0.3944605445
0.474,0.3811039932
0.478,0.373953906
0.482,0.3742613514
0.486,0.3821645619
0.49,0.3965412261
0.494,0.4151229965
0.498,0.4348955175
0.502,0.4526778327
0.506,0.4658124353
0.51,0.472924072
0.514,0.4745277531
0.518,0.4730320838
0.522,0.4718256414
0.526,0.4736516185
0.53,0.4791126734
0.534,0.486311817
0.538,0.4919546199
0.542,0.4933347167
0.546,0.4899239313
0.55,0.4836718058
0.554,0.4780354412
0.558,0.4764978402
0.562,0.481327085
0.566,0.4928942554
0.57,0.5095308753
0.574,0.5278577042
0.578,0.5437273118
0.582,0.5536419399
0.586,0.556091167
0.59,0.5520681195
0.594,0.5444368194
0.598,0.5365016038
0.602,0.5307221112
0.606,0.5281458975
0.61,0.5285413781
0.614,0.5308898904
0.618,0.5339064534
0.622,0.5364676872
0.626,0.537912779
0.63,0.538118436
0.634,0.5373052838
0.638,0.5356919306
0.642,0.5331686292
0.646,0.5292819119
0.65,0.523565063
0.654,0.5160650868
0.658,0.5077745233
0.662,0.5006295757
0.666,0.4969418552
0.67,0.4985290729
0.674,0.5060565062
0.678,0.5189384773
0.682,0.5358668079
0.686,0.5555522102
0.69,0.5772052197
0.694,0.6004812784
0.698,0.6249958895
0.702,0.6497029339
0.706,0.6725500274
0.71,0.6906819951
0.714,0.7012292031
0.718,0.7023709853
0.722,0.6941107666
0.726,0.6783367289
0.73,0.6580922029
0.734,0.6365178709
0.738,0.6160346886
0.742,0.5981587852
0.746,0.5838334891
0.75,0.5738733838
0.754,0.5691082445
0.758,0.5701087063
0.762,0.5767331443
0.766,0.5878944628
0.77,0.6017435483
0.774,0.6161874576
0.778,0.6294019424
0.782,0.6400738506
0.786,0.6473423064
0.79,0.650621136
0.794,0.6494735515
0.798,0.6436404676
0.802,0.6332082124
0.806,0.618791972
0.81,0.6015632824
0.814,0.5830392984
0.818,0.5647300868
0.822,0.5478708596
0.826,0.5334250104
0.83,0.5223126099
0.834,0.5155741053
0.838,0.514252981
0.842,0.5189656069
0.846,0.5294339518
0.85,0.5443159758
0.854,0.5614612172
0.858,0.5784775242
0.862,0.5933137962
0.866,0.6046352975
0.87,0.6119888106
0.874,0.6157933073
0.878,0.6172538191
0.882,0.6180894993
0.886,0.6200714244
0.89,0.6244208129
0.894,0.6313696878
0.898,0.640073033
0.902,0.6488908969
0.906,0.6558861894
0.91,0.6593696761
