source_row,halo_id,galaxy_id,kind,ra_gal,dec_gal,observed_redshift_gal,euclid_nisp_h,lm_halo,true_redshift_halo,conc_vir_halo,rs_halo,rvir_halo,hpix_29_nest,h_ab,x_arcmin,y_arcmin,pdz_sigma_log1pz,synthetic_t,synthetic_error_alias,population
609,4442570310376,3,1,185.86453,61.749153,1.6069398,9.9396424e-30,12.3027935,1.6069627,3.4169064,89.67196,306.4007,791685019485091505,23.9065731,0.1532363409,-1.4868,0.04918251462,0.897023349,0,Other hosts
612,4442570322709,0,0,185.7467,61.814407,1.6204453,1.4094439e-28,12.355242,1.622164,1.7418622,183.62006,319.84082,791688509901867550,21.02738051,-3.190437371,2.42844,0.0239895795,0.976855702,0,Other hosts
1903,4140500064944,50,1,185.74606,61.6957,0.9281945,1.5808784e-29,12.919134,0.92808753,3.681379,130.42303,480.13663,791684095946282824,23.40275384,-3.208598715,-4.69398,0.04477409606,0.6419528714,0,Other hosts
1949,4140500612158,3,1,185.95323,61.867134,0.9713429,7.871112e-29,11.911431,0.9676614,8.12647,27.259207,221.52112,791665635236780986,21.65990977,2.670285125,5.59206,0.02952421048,0.7610523824,0,Other hosts
2973,3737410786652,0,0,185.9719,61.731697,0.35747018,2.6271974e-29,11.022123,0.35850015,6.1897,16.687832,103.29267,791664356321747873,22.85126824,3.200085585,-2.53416,0.03994859706,0.3119711297,0,Other hosts
3536,3737410787381,0,0,185.71173,61.73378,0.3582952,5.0949086e-27,12.722666,0.35923174,4.161767,92.90847,386.6634,791685235983089582,17.13215901,-4.182784564,-2.40918,0.015,0.1035909464,-1,Other hosts
4846,4443580440679,0,0,185.83424,61.769714,1.8118833,1.6969188e-28,12.739977,1.8085811,3.0990994,138.65434,429.70358,791685059143538771,20.82584735,-0.706306023,-0.25314,0.02222616429,1.059196071,0,Other hosts
5708,4443580440514,0,0,185.70032,61.8172,1.8148935,1.156703e-29,11.485527,1.8100215,4.0376797,40.63273,164.06195,791685608665907984,23.74194535,-4.506567276,2.59602,0.04774202177,1.074197844,0,Other hosts
5709,4443580441896,0,0,185.67331,61.822777,1.8212129,9.6340545e-30,11.515923,1.8177882,4.569472,36.744526,167.90308,791685708472377004,23.94047725,-5.273032752,2.93064,0.04947917596,0.9521211,0,Other hosts
5730,4443590416439,0,0,185.86053,61.674706,1.8689007,1.05169046e-29,11.535916,1.8655547,4.06977,44.83899,182.48436,791684662154956485,23.84528016,0.03972794023,-5.95362,0.04864620143,1.100364043,0,Other hosts
6866,3737410787381,10,1,185.76302,61.77269,0.35788324,1.1085474e-27,12.722666,0.35923174,4.161767,92.90847,386.6634,791685173839309832,18.78811433,-2.727323096,-0.07458,0.015,0.3025530166,0,Other hosts
8207,4745640140595,0,0,185.7868,61.808117,2.781974,1.2712531e-29,11.890875,2.7832456,7.2665887,31.146555,226.32921,791688124680025758,23.63941994,-2.052515655,2.05104,0.04684492445,1.312699005,0,Other hosts
8437,4745650211789,0,0,185.80136,61.80602,2.8520648,2.27659e-29,12.164566,2.8489113,5.0116158,55.7009,279.15152,791688117326419609,23.00678794,-1.639345076,1.92522,0.04130939448,1.075001738,-1,Other hosts
8676,4745650282104,0,0,185.9428,61.819443,2.9039574,2.4023015e-29,12.301744,2.90495,3.2043552,96.799995,310.18158,791664809873000021,22.94843122,2.37431197,2.7306,0.04079877316,1.370017064,0,Other hosts
9277,3736400810361,0,0,185.9737,61.740578,0.28611273,1.102404e-27,11.806349,0.28743136,9.340378,20.244534,189.0916,791664370281236977,18.79414805,3.251164365,-2.0013,0.015,0.2571702806,0,Other hosts
